Fwd Packet Length Min,Flow Bytes/s,Destination Port,Total Length of Fwd Packets,Bwd Packet Length Max,Total Backward Packets,Fwd Packet Length Max,Bwd Packet Length Std,Bwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Min,URG Flag Count,Flow Duration,Down/Up Ratio,Fwd Packet Length Mean,Total Fwd Packets,Total Length of Bwd Packets,Flow Packets/s
75.0,75000000.0,53,75,75.0,0,75.0,0.0,75.0,0.0,75.0,0,1e-06,0.0,75.0,1,0,1000000.0
75.0,75000000.0,53,75,75.0,0,75.0,0.0,75.0,0.0,75.0,0,1e-06,0.0,75.0,1,0,1000000.0
75.0,75000000.0,53,75,75.0,0,75.0,0.0,75.0,0.0,75.0,0,1e-06,0.0,75.0,1,0,1000000.0
103.0,103000000.0,47809,0,103.0,1,103.0,0.0,103.0,0.0,103.0,0,1e-06,0.0,103.0,0,103,1000000.0
91.0,91000000.0,64522,0,91.0,1,91.0,0.0,91.0,0.0,91.0,0,1e-06,0.0,91.0,0,91,1000000.0
132.0,132000000.0,2983,0,132.0,1,132.0,0.0,132.0,0.0,132.0,0,1e-06,0.0,132.0,0,132,1000000.0
79.0,79000000.0,53,79,79.0,0,79.0,0.0,79.0,0.0,79.0,0,1e-06,0.0,79.0,1,0,1000000.0
79.0,79000000.0,53,79,79.0,0,79.0,0.0,79.0,0.0,79.0,0,1e-06,0.0,79.0,1,0,1000000.0
79.0,79000000.0,53,79,79.0,0,79.0,0.0,79.0,0.0,79.0,0,1e-06,0.0,79.0,1,0,1000000.0
141.0,141000000.0,53820,0,141.0,1,141.0,0.0,141.0,0.0,141.0,0,1e-06,0.0,141.0,0,141,1000000.0
129.0,129000000.0,20966,0,129.0,1,129.0,0.0,129.0,0.0,129.0,0,1e-06,0.0,129.0,0,129,1000000.0
153.0,153000000.0,7920,0,153.0,1,153.0,0.0,153.0,0.0,153.0,0,1e-06,0.0,153.0,0,153,1000000.0
66.0,418.29991888695156,5223,17414,1514.0,0,1514.0,721.3243807877567,725.5833333333334,721.3243807877567,66.0,0,41.63041687011719,0.0,725.5833333333334,24,0,0.5765015535366279
66.0,936.3122393070985,51460,38947,1514.0,1,1514.0,655.0855524899637,1054.4054054054054,655.0855524899637,66.0,0,41.66665601730347,0.027777777777777776,1054.4054054054054,36,66,0.8880002269592865
73.0,42810.1740733033,443,5444,1292.0,0,1292.0,597.3393228866375,907.3333333333334,597.3393228866375,73.0,0,0.1271660327911377,0.0,907.3333333333334,6,0,47.18241080819614
66.0,40416.80795234997,62058,4731,1292.0,1,1292.0,595.5439690296754,687.5714285714286,595.5439690296754,66.0,0,0.11908411979675293,0.16666666666666666,687.5714285714286,6,82,58.781977075929724
85.0,85000000.0,53,85,85.0,0,85.0,0.0,85.0,0.0,85.0,0,1e-06,0.0,85.0,1,0,1000000.0
85.0,85000000.0,53,85,85.0,0,85.0,0.0,85.0,0.0,85.0,0,1e-06,0.0,85.0,1,0,1000000.0
